measure,location,sex,age,age_c,cause,metric,year,val,upper,lower,pop
YLDs (Years Lived with Disability),Kenya,Both,Under 5,0-4,All causes,Number,2019,262848,347988,191593,5993267
DALYs (Disability-Adjusted Life Years),Kenya,Both,Under 5,0-4,All causes,Number,2019,4960803,5985712,4054994,5993267
YLLs (Years of Life Lost),Kenya,Both,Under 5,0-4,All causes,Number,2019,4697955,5706721,3791633,5993267
YLLs (Years of Life Lost),Kenya,Both,1 to 4,1-4,All causes,Number,2019,1063777.658,1284416.307,871428.7925,4888193
YLLs (Years of Life Lost),Kenya,Both,5 to 9,5-9,All causes,Number,2019,338999.1196,429553.1752,284326.0846,6202643
YLLs (Years of Life Lost),Kenya,Both,10 to 14,10-14,All causes,Number,2019,297609.375,348733.51,258187.2186,6346072
YLLs (Years of Life Lost),Kenya,Both,15 to 19,15-19,All causes,Number,2019,553843.3175,675969.3189,438090.685,5285857
YLLs (Years of Life Lost),Kenya,Both,20 to 24,20-24,All causes,Number,2019,574434.6659,687688.8039,464536.7009,4447674
YLLs (Years of Life Lost),Kenya,Both,25 to 29,25-29,All causes,Number,2019,579097.2208,713190.9019,454156.2476,3854555
YLLs (Years of Life Lost),Kenya,Both,30 to 34,30-34,All causes,Number,2019,669139.0748,818290.2034,539018.5787,3570719
YLLs (Years of Life Lost),Kenya,Both,35 to 39,35-39,All causes,Number,2019,766549.5948,912631.0115,619266.8002,2650116
YLLs (Years of Life Lost),Kenya,Both,40 to 44,40-44,All causes,Number,2019,798138.6342,899581.3491,698625.2704,2259231
YLLs (Years of Life Lost),Kenya,Both,45 to 49,45-49,All causes,Number,2019,763607.0756,872857.0712,657610.574,1786256
YLLs (Years of Life Lost),Kenya,Both,50 to 54,50-54,All causes,Number,2019,683504.8302,783030.6522,587224.628,1308610
YLLs (Years of Life Lost),Kenya,Both,55 to 59,55-59,All causes,Number,2019,602124.3822,694254.6544,521135.6254,1118094
YLLs (Years of Life Lost),Kenya,Both,60 to 64,60-64,All causes,Number,2019,545261.4412,626172.9844,475298.805,870022
YLLs (Years of Life Lost),Kenya,Both,65 to 69,65-69,All causes,Number,2019,463433.6835,523948.5572,412016.3255,658178
YLLs (Years of Life Lost),Kenya,Both,70 to 74,70-74,All causes,Number,2019,388647.0981,425793.3974,353398.8137,514539
YLLs (Years of Life Lost),Kenya,Both,75 to 79,75-79,All causes,Number,2019,281043.6538,298209.4361,257930.1569,283122
YLLs (Years of Life Lost),Kenya,Both,80 plus,80+,All causes,Number,2019,291473.9576,311467.2593,270424.0303,414654
YLLs (Years of Life Lost),Kenya,Both,<1 year,<1,All causes,Number,2019,3634177.675,4429992.995,2926376.162,1105074
DALYs (Disability-Adjusted Life Years),Kenya,Both,1 to 4,1-4,All causes,Number,2019,1270510.931,1500218.479,1065044.471,4888193
DALYs (Disability-Adjusted Life Years),Kenya,Both,5 to 9,5-9,All causes,Number,2019,615396.0377,750272.4252,519497.1041,6202643
DALYs (Disability-Adjusted Life Years),Kenya,Both,10 to 14,10-14,All causes,Number,2019,625524.2703,745157.1902,528483.1909,6346072
DALYs (Disability-Adjusted Life Years),Kenya,Both,15 to 19,15-19,All causes,Number,2019,941425.6376,1118903.932,790247.4257,5285857
DALYs (Disability-Adjusted Life Years),Kenya,Both,20 to 24,20-24,All causes,Number,2019,965114.6429,1136259.861,810674.9744,4447674
DALYs (Disability-Adjusted Life Years),Kenya,Both,25 to 29,25-29,All causes,Number,2019,974600.2106,1165654.229,814878.3013,3854555
DALYs (Disability-Adjusted Life Years),Kenya,Both,30 to 34,30-34,All causes,Number,2019,1065331.436,1259138.607,904362.9724,3570719
