paper_id,param,units,param_label,title,doi,authors,publisher,year,in_appendix,inline,pagenum,tablenum,table_col,table_row,figure_num,inline_sentence
1,142.43,dollars,"NPV increase in per person earnings, full subsidy",WORMS AT WORK: LONG-RUN IMPACTS OF A CHILD HEALTH INVESTMENT,10.1093/qje/qjw022,Sarah Baird; Joan Hamory Hicks; Michael Kremer; Edward Miguel,Quarterly Journal of Economics,2016,no,no,1666,5,3,9,NA,NA
1,12.9,dollars,"NPV increase in per person government revenue, full subsidy",WORMS AT WORK: LONG-RUN IMPACTS OF A CHILD HEALTH INVESTMENT,10.1093/qje/qjw022,Sarah Baird; Joan Hamory Hicks; Michael Kremer; Edward Miguel,Quarterly Journal of Economics,2016,no,no,1666,5,3,10,NA,NA
1,766.81,dollars,"NPV increase in per person earnings, full subsidy",WORMS AT WORK: LONG-RUN IMPACTS OF A CHILD HEALTH INVESTMENT,10.1093/qje/qjw022,Sarah Baird; Joan Hamory Hicks; Michael Kremer; Edward Miguel,Quarterly Journal of Economics,2016,no,no,1666,5,3,12,NA,NA
1,102.97,dollars,"NPV increase in per person government revenue, full subsidy",WORMS AT WORK: LONG-RUN IMPACTS OF A CHILD HEALTH INVESTMENT,10.1093/qje/qjw022,Sarah Baird; Joan Hamory Hicks; Michael Kremer; Edward Miguel,Quarterly Journal of Economics,2016,no,no,1666,5,3,13,NA,NA
1,10.71,dollars,NPV of additional secondary schooling costs no externality,WORMS AT WORK: LONG-RUN IMPACTS OF A CHILD HEALTH INVESTMENT,10.1093/qje/qjw022,Sarah Baird; Joan Hamory Hicks; Michael Kremer; Edward Miguel,Quarterly Journal of Economics,2016,no,no,1666,5,3,6,NA,NA
1,1.07,dollars,Subsidy 􏰓 take-up rate,WORMS AT WORK: LONG-RUN IMPACTS OF A CHILD HEALTH INVESTMENT,10.1093/qje/qjw022,Sarah Baird; Joan Hamory Hicks; Michael Kremer; Edward Miguel,Quarterly Journal of Economics,2016,no,no,1666,5,3,3,NA,NA
1,13.42,dollars,NPV of additional secondary schooling costs due to externality,WORMS AT WORK: LONG-RUN IMPACTS OF A CHILD HEALTH INVESTMENT,10.1093/qje/qjw023,Sarah Baird; Joan Hamory Hicks; Michael Kremer; Edward Miguel,Quarterly Journal of Economics,2017,no,no,1666,5,3,7,NA,NA
2,40.7,percentage points,social irr for earnings with effects up to 25 years ,Twenty Year Economic Impacts of Deworming,10.3386/w27611,,working paper,2020,yes,yes,18,A12,3,9,Figure 1," The implied social and fiscal IRR estimates in this case are 40.7% and 15.5%, with values higher if we allow gains to persist beyond year 25 (Panel C). "
2,499.72,dollars,NPV for earnings with effects up to 25 years with 5% discount rate,Twenty Year Economic Impacts of Deworming,10.3386/w27611,,working paper,2021,yes,no,19,A12,3,6,NA,NA
3,55,percentage points,social irr for intergenerational mortality benefits with revealed preference,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,,,2022,yes,yes,,A6,2,5,Figure 2,The annualized social IRR for intergenerational mortality benefits of stated preference is 1.9*10^12%; the annualized social IRR for intergenerational mortality benefits of revealed preference is 55%.
3,,percentage points,social irr for intergenerational mortality benefits with stated preference,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,,,2022,yes,yes,,A6,3,5,Figure 2,The annualized social IRR for intergenerational mortality benefits of stated preference is 1.9*10^12%; the annualized social IRR for intergenerational mortality benefits of revealed preference is 55%.
3,29.78,dollars,Social NPV for assumed discount rate of 5% with revealed preference,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,,,2022,yes,yes,,A6,2,3,NA,"the net present value from intergenerational mortality benefits is USD PPP 1686.14 and USD PPP 29.78 for stated and revealed preference, respectively, with respect to the deworming drug treatment
costs. "
3,1686.14,dollars,Social NPV for assumed discount rate of 5% with stated preference,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,,,2022,yes,yes,,A6,3,3,NA,"the net present value from intergenerational mortality benefits is USD PPP 1686.14 and USD PPP 29.78 for stated and revealed preference, respectively, with respect to the deworming drug treatment
costs. "
